instruct_text,count,Q1,Q2,Q3,Q4,D1,D2,roleName,rolePic,instruct1.thisRepN,instruct1.thisTrialN,instruct1.thisN,instruct1.thisIndex,instruct3.thisRepN,instruct3.thisTrialN,instruct3.thisN,instruct3.thisIndex,instruct4.thisRepN,instruct4.thisTrialN,instruct4.thisN,instruct4.thisIndex,instruct5.thisRepN,instruct5.thisTrialN,instruct5.thisN,instruct5.thisIndex,count_4.thisRepN,count_4.thisTrialN,count_4.thisN,count_4.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,instruct6.thisRepN,instruct6.thisTrialN,instruct6.thisN,instruct6.thisIndex,text.started,text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,text_12.started,text_12.stopped,image_11.started,image_11.stopped,image_12.started,image_12.stopped,text_17.started,text_17.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.started,key_resp_7.stopped,participant,sA,sB,lA,lB,date,expName,psychopyVersion,frameRate,
"There will be additional tasks after the story listening, but we will explain them when we come to them.",,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,38.05218640399835,None,space,0.21449343700078316,38.05218640399835,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
Are you reading to begin the training on the perspectives?,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,38.30215804900217,None,space,0.25223275499593,38.30215804900217,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
The four perspectives are as follows:,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,38.602378101000795,None,space,0.3009663529956015,38.602378101000795,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,2,How is the restaurant decorated?,What are the menus like?,"What does each client order?
",How do the clients like the food?,How is the restaurant supplied?,How do the clients like the chairs?,Restaurant Critic,jobphotos/restaurant_critic.jpg,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,,,,,,,,,,,,,,,,,,,39.052351594000356,None,39.052351594000356,None,space,0.32812685200042324,39.052351594000356,None,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,0,For how long has the initiator of the breakup been thinking about breaking up with his/her partner?,"What is the initial reason stated by the initiator for why he/she is breaking up?
","Does the person who is being broken up with want to break up, and what’s the reason stated by them for this?",Who wants what items back as a result of the breakup?,What is the initial reason stated by the initiator for why he/she wanted to meet?,Who wants how many letters burned as a result of the breakup?,"Couples Therapist
",jobphotos/couples.jpg,,,,,,,,,,,,,,,,,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,39.50258371399832,None,39.50258371399832,None,space,0.5837870199975441,39.50258371399832,None,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,0,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,3,"When the clients arrive at the airport, how much time do they have until their flight departs?
",What is the reason for the hold-up at security?,"Toward which gate are the clients walking?
","What section and seat does each client sit in on the plane?
",Toward which security line are the clients walking?,What section and seat are roped off on the plane?,Airport Customer Experience Manager,jobphotos/acem.jpg,,,,,,,,,,,,,,,,,0,2,2,3,0,0,0,0,,,,,,,,,,,,,,,,,,,40.235823588998755,None,40.235823588998755,None,space,0.21258397999918088,40.235823588998755,None,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,3,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,1,For how long has the couple been dating?,"How many diamonds are on the ring, and what is the diamond color?","In/on what item is the ring presented?
","Who does the new fiancee text first?
",For how long has the couple known the other was going to propose?,Who does the new fiancee hug first?,Wedding Planner,jobphotos/weddingplanner.jpg,,,,,,,,,,,,,,,,,0,3,3,1,0,0,0,0,,,,,,,,,,,,,,,,,,,40.55198802900122,None,40.55198802900122,None,space,0.2796049749958911,40.55198802900122,None,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
,1,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
You’ll become acquainted with them more in learning the 4 questions associated with each perspective.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,40.91889320399787,None,space,0.28946264200203586,40.91889320399787,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
"For each perspective, you'll go through all four questions in a sequence.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,41.26916361400072,None,space,0.2260234500063234,41.26916361400072,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
Then you'll be presented with a quiz and have to indicate which questions you saw in the order in which they appeared in the sequence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,41.56899043099838,None,space,0.06817392700031633,41.56899043099838,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
You'll indicate the question you select by pressing the number key corresponding to the number in front of the question.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,41.68582688400056,None,space,0.09440934300073422,41.68582688400056,None,,,,,,,,,,,,,,,,,alex,0,1,0,1,2020_Feb_05_1451,training_fmri,3.2.1,59.93269139117859,
